Year,EndDate,Net,LG,totcount
2001,2001-06-28,231S,3,2
2001,2001-07-02,230N,3,2
2001,2001-07-02,230S,3,4
2001,2001-07-03,230N,3,15
2001,2001-07-03,230S,3,41
2001,2001-07-04,230N,3,8
2001,2001-07-04,230S,3,55
2001,2001-07-04,231S,3,8
2001,2001-07-05,230N,3,12
2001,2001-07-05,230S,3,26
2001,2001-07-05,231N,3,5
2001,2001-07-05,231S,3,8
2001,2001-07-06,230N,3,5
2001,2001-07-06,230S,3,23
2001,2001-07-06,231S,3,1
2001,2001-07-07,231N,3,2
2001,2001-07-08,230N,3,3
2001,2001-07-14,230N,3,1
2001,2001-07-15,230N,3,2
2001,2001-07-16,218E,3,4
2001,2001-07-16,218W,3,4
2001,2001-07-17,218E,3,4
2001,2001-07-17,218W,3,3
2001,2001-07-17,220E,3,1
2001,2001-07-17,220W,3,1
2001,2001-07-17,230S,3,1
2001,2001-07-17,231N,3,1
2001,2001-07-18,230N,3,3
2001,2001-07-18,230S,3,5
2001,2001-07-18,231N,3,2
2001,2001-07-19,230N,3,2
2001,2001-07-19,230S,3,5
2001,2001-07-19,231N,3,42
2001,2001-07-19,231S,3,8
2001,2001-07-20,218E,3,3
2001,2001-07-20,218W,3,7
2001,2001-07-20,230N,3,1
2001,2001-07-20,231N,3,2
2001,2001-07-21,218E,3,2
2001,2001-07-21,218W,3,3
2001,2001-07-21,220E,3,3
2001,2001-07-21,220W,3,1
2001,2001-07-21,230N,3,2
2001,2001-07-21,230S,3,5
2001,2001-07-21,231N,3,6
2001,2001-07-21,231S,3,6
2001,2001-07-22,218W,3,2
2001,2001-07-22,220W,3,3
2001,2001-07-22,230S,3,2
2001,2001-07-22,231N,3,9
2001,2001-07-22,231S,3,2
2001,2001-07-23,218E,3,16
2001,2001-07-23,218W,3,1
2001,2001-07-23,220E,3,4
2001,2001-07-23,220W,3,6
2001,2001-07-23,230N,3,1
2001,2001-07-23,230S,3,8
2001,2001-07-23,231N,3,5
2001,2001-07-23,231S,3,5
2001,2001-07-24,218E,3,3
2001,2001-07-24,218W,3,3
2001,2001-07-24,220E,3,4
2001,2001-07-24,220W,3,16
2001,2001-07-24,230N,3,9
2001,2001-07-24,230S,3,22
2001,2001-07-24,231N,3,1
2001,2001-07-24,231S,3,6
2001,2001-07-25,218E,3,7
2001,2001-07-25,220E,3,4
2001,2001-07-25,220W,3,9
2001,2001-07-25,230N,3,3
2001,2001-07-25,230S,3,28
2001,2001-07-25,231N,3,2
2001,2001-07-25,231S,3,4
2001,2001-07-26,218E,3,5
2001,2001-07-26,218W,3,1
2001,2001-07-26,220E,3,20
2001,2001-07-26,220W,3,14
2001,2001-07-26,230S,3,10
2001,2001-07-26,231N,3,1
2001,2001-07-26,231S,3,2
2001,2001-07-27,218E,3,5
2001,2001-07-27,218W,3,1
2001,2001-07-27,220E,3,9
2001,2001-07-27,230N,3,2
2001,2001-07-27,230S,3,3
2001,2001-07-27,231N,3,1
2001,2001-07-28,218E,3,2
2001,2001-07-28,218W,3,2
2001,2001-07-28,220E,3,1
2001,2001-07-28,230S,3,24
2001,2001-07-29,218W,3,5
2001,2001-07-29,220E,3,3
2001,2001-07-29,220W,3,9
2001,2001-07-29,230N,3,6
2001,2001-07-29,230S,3,21
2001,2001-07-29,231N,3,5
2001,2001-07-29,231S,3,2
2001,2001-07-30,218W,3,1
2001,2001-07-30,220E,3,5
2001,2001-07-30,220W,3,15
2001,2001-07-30,230N,3,5
2001,2001-07-30,230S,3,39
2001,2001-07-30,231N,3,1
2001,2001-07-30,231S,3,2
2001,2001-07-31,218E,3,2
2001,2001-07-31,218W,3,1
2001,2001-07-31,220E,3,9
2001,2001-07-31,220W,3,7
2001,2001-07-31,230N,3,1
2001,2001-07-31,230S,3,6
2001,2001-07-31,231N,3,1
2001,2001-07-31,231S,3,4
2001,2001-08-01,218E,3,4
2001,2001-08-01,218W,3,1
2001,2001-08-01,220E,3,1
2001,2001-08-01,220W,3,1
2001,2001-08-01,230N,3,1
