EndDate,Net,StartDateTime,EndDateTime,Year,Effort_NetHrs,Station
2001-06-28,231N,2001-06-26T23:00:00Z,2001-06-28T21:15:00Z,2001,46.25,231
2001-06-28,231S,2001-06-26T23:00:00Z,2001-06-28T21:45:00Z,2001,46.75,231
2001-06-29,231N,2001-06-28T21:45:00Z,2001-06-29T17:30:00Z,2001,19.75,231
2001-06-29,231N,2001-06-28T21:45:00Z,2001-06-29T17:25:00Z,2001,19.666666666666668,231
2001-06-30,231N,2001-06-29T17:25:00Z,2001-06-30T16:25:00Z,2001,23,231
2001-06-30,231S,2001-06-29T17:30:00Z,2001-06-30T16:28:00Z,2001,22.966666666666665,231
2001-07-01,231N,2001-06-30T16:25:00Z,2001-07-01T16:10:00Z,2001,23.75,231
2001-07-01,231S,2001-06-30T16:28:00Z,2001-07-01T16:12:00Z,2001,23.733333333333334,231
2001-07-02,230N,2001-07-01T17:20:00Z,2001-07-02T17:15:00Z,2001,23.916666666666668,230
2001-07-02,230S,2001-07-01T17:20:00Z,2001-07-02T17:30:00Z,2001,24.166666666666668,230
2001-07-02,231N,2001-07-01T16:12:00Z,2001-07-02T16:30:00Z,2001,24.3,231
2001-07-02,231S,2001-07-01T16:10:00Z,2001-07-02T16:14:00Z,2001,24.066666666666666,231
2001-07-03,230N,2001-07-02T17:15:00Z,2001-07-03T16:55:00Z,2001,23.666666666666668,230
2001-07-03,230S,2001-07-02T17:30:00Z,2001-07-03T16:20:00Z,2001,22.833333333333332,230
2001-07-03,231N,2001-07-02T16:30:00Z,2001-07-03T19:25:00Z,2001,26.916666666666668,231
2001-07-03,231S,2001-07-02T16:14:00Z,2001-07-03T19:39:00Z,2001,27.416666666666668,231
2001-07-04,230N,2001-07-03T16:55:00Z,2001-07-04T17:40:00Z,2001,24.75,230
2001-07-04,230S,2001-07-03T16:20:00Z,2001-07-04T18:05:00Z,2001,25.75,230
2001-07-04,231N,2001-07-03T19:25:00Z,2001-07-04T16:50:00Z,2001,21.416666666666668,231
2001-07-04,231S,2001-07-03T19:39:00Z,2001-07-04T17:06:00Z,2001,21.45,231
2001-07-05,230N,2001-07-04T17:40:00Z,2001-07-05T18:30:00Z,2001,24.833333333333332,230
2001-07-05,230S,2001-07-04T18:05:00Z,2001-07-05T18:45:00Z,2001,24.666666666666668,230
2001-07-05,231N,2001-07-04T16:50:00Z,2001-07-05T16:17:00Z,2001,23.45,231
2001-07-05,231S,2001-07-04T17:06:00Z,2001-07-05T17:10:00Z,2001,24.066666666666666,231
2001-07-06,230N,2001-07-05T18:30:00Z,2001-07-06T17:30:00Z,2001,23,230
2001-07-06,230S,2001-07-05T18:45:00Z,2001-07-06T18:22:00Z,2001,23.616666666666667,230
2001-07-06,231N,2001-07-05T16:17:00Z,2001-07-06T16:10:00Z,2001,23.883333333333333,231
2001-07-06,231S,2001-07-05T17:10:00Z,2001-07-06T16:30:00Z,2001,23.333333333333332,231
2001-07-07,230N,2001-07-06T17:30:00Z,2001-07-07T18:00:00Z,2001,24.5,230
2001-07-07,231N,2001-07-06T18:22:00Z,2001-07-07T18:20:00Z,2001,23.966666666666665,231
2001-07-07,231S,2001-07-06T16:30:00Z,2001-07-07T16:50:00Z,2001,24.333333333333332,231
2001-07-08,230N,2001-07-07T18:00:00Z,2001-07-08T16:50:00Z,2001,22.833333333333332,230
2001-07-08,230S,2001-07-07T18:20:00Z,2001-07-08T17:20:00Z,2001,23,230
2001-07-08,231N,2001-07-07T16:02:00Z,2001-07-08T16:05:00Z,2001,24.05,231
2001-07-08,231S,2001-07-07T16:50:00Z,2001-07-08T16:20:00Z,2001,23.5,231
2001-07-09,230N,2001-07-08T16:50:00Z,2001-07-09T17:00:00Z,2001,24.166666666666668,230
2001-07-09,230S,2001-07-08T17:20:00Z,2001-07-09T17:23:00Z,2001,24.05,230
2001-07-09,231N,2001-07-08T16:09:00Z,2001-07-09T16:05:00Z,2001,23.933333333333334,231
2001-07-09,231S,2001-07-08T16:20:00Z,2001-07-09T16:21:00Z,2001,24.016666666666666,231
2001-07-10,230N,2001-07-09T17:00:00Z,2001-07-10T16:37:00Z,2001,23.616666666666667,230
2001-07-10,230S,2001-07-09T17:23:00Z,2001-07-10T16:53:00Z,2001,23.5,230
2001-07-11,230N,2001-07-10T16:37:00Z,2001-07-11T16:35:00Z,2001,23.966666666666665,230
2001-07-11,230S,2001-07-10T16:53:00Z,2001-07-11T17:00:00Z,2001,24.116666666666667,230
2001-07-12,230N,2001-07-11T16:35:00Z,2001-07-12T17:48:00Z,2001,25.216666666666665,230
2001-07-12,230S,2001-07-11T17:00:00Z,2001-07-12T17:37:00Z,2001,24.616666666666667,230
2001-07-13,230N,2001-07-12T17:48:00Z,2001-07-13T16:10:00Z,2001,22.366666666666667,230
2001-07-13,230S,2001-07-12T17:37:00Z,2001-07-13T16:22:00Z,2001,22.75,230
2001-07-13,231N,2001-07-12T17:10:00Z,2001-07-13T16:40:00Z,2001,23.5,231
2001-07-13,231S,2001-07-12T17:10:00Z,2001-07-13T16:52:00Z,2001,23.7,231
2001-07-14,230N,2001-07-13T16:10:00Z,2001-07-14T17:09:00Z,2001,24.983333333333334,230
2001-07-14,230S,2001-07-13T16:22:00Z,2001-07-14T17:20:00Z,2001,24.966666666666665,230
2001-07-14,231N,2001-07-13T16:40:00Z,2001-07-14T16:00:00Z,2001,23.333333333333332,231
2001-07-14,231S,2001-07-13T16:52:00Z,2001-07-14T16:16:00Z,2001,23.4,231
2001-07-15,230N,2001-07-14T17:09:00Z,2001-07-15T16:08:00Z,2001,22.983333333333334,230
2001-07-15,230S,2001-07-14T17:20:00Z,2001-07-15T16:20:00Z,2001,23,230
