Year,Date,Month,Station,Salin_Top,Salin_Mid,Salin_Bot,Salin_Bot_1.5,Temp_Top,Temp_Mid,Temp_Bot,Temp_Bot_1.5
2001,2001-06-28,6,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-06-29,6,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-06-30,6,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-01,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-02,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-03,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-04,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-05,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-06,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-07,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-08,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-09,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-10,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-11,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-12,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-13,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-14,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-15,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-16,7,218,6.8,6.7,6.7,NA,3,3,3.1,NA
2001,2001-07-17,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-18,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-19,7,218,8.7,8.7,NA,NA,3.5,3.5,NA,NA
2001,2001-07-20,7,218,6.8,6.8,6.8,NA,9.9,9.9,9.9,NA
2001,2001-07-21,7,218,6,6.4,NA,NA,9.9,9.6,NA,NA
2001,2001-07-22,7,218,5.9,5.9,NA,NA,10.5,10.5,NA,NA
2001,2001-07-23,7,218,7.1,7.2,7.2,NA,9.9,9.9,9.9,NA
2001,2001-07-24,7,218,8.7,8.7,8.7,NA,8.7,8.7,8.7,NA
2001,2001-07-25,7,218,6.9,6.9,NA,NA,9.1,9.1,NA,NA
2001,2001-07-26,7,218,5.5,5.5,NA,NA,11.6,11.6,NA,NA
2001,2001-07-27,7,218,7.7,7.8,NA,NA,10.2,10.1,NA,NA
2001,2001-07-28,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-29,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-30,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-31,7,218,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-08-01,8,218,10.3,10.5,NA,NA,6.6,6.5,NA,NA
2001,2001-08-02,8,218,10.9,10.9,NA,NA,6.8,5.4,NA,NA
2001,2001-08-03,8,218,NA,NA,NA,NA,6.3,6.3,NA,NA
2001,2001-08-04,8,218,NA,NA,NA,NA,6.6,6.6,NA,NA
2001,2001-08-05,8,218,8.2,8.4,9.5,NA,5.8,5.6,5.5,NA
2001,2001-08-06,8,218,9.4,9.5,NA,NA,7.7,7.6,NA,NA
2001,2001-08-07,8,218,11.9,12,NA,NA,6.5,6.3,NA,NA
2001,2001-08-08,8,218,12.7,12.7,NA,NA,7.4,7.3,NA,NA
2001,2001-08-09,8,218,NA,NA,NA,NA,10,9.6,NA,NA
2001,2001-08-10,8,218,16,16,NA,NA,8.8,7.8,NA,NA
2001,2001-08-11,8,218,18,18,NA,NA,NA,NA,NA,NA
2001,2001-08-12,8,218,14,16,NA,NA,7,6.5,NA,NA
2001,2001-08-13,8,218,17,17,NA,NA,5.5,5,NA,NA
2001,2001-08-14,8,218,16,16,NA,NA,6,6,NA,NA
2001,2001-08-15,8,218,14,14,NA,NA,5,4.8,NA,NA
2001,2001-08-16,8,218,9,9,NA,NA,4.5,4.5,NA,NA
2001,2001-08-17,8,218,13,13,NA,NA,3.5,3.5,NA,NA
2001,2001-08-18,8,218,14,14,NA,NA,2,2,NA,NA
2001,2001-08-19,8,218,2,2,NA,NA,2.5,2.5,NA,NA
2001,2001-08-20,8,218,6,6,NA,NA,2.9,2.9,NA,NA
2001,2001-08-21,8,218,4,4,NA,NA,3.5,3.5,NA,NA
2001,2001-08-22,8,218,8,8,NA,NA,2.2,2.2,NA,NA
2001,2001-08-23,8,218,12,13,NA,NA,2.2,2.2,NA,NA
2001,2001-08-24,8,218,6.5,7,NA,NA,2,2,NA,NA
2001,2001-08-25,8,218,11,11,NA,NA,2.5,2.5,NA,NA
2001,2001-08-26,8,218,18,19,NA,NA,3.2,3.2,NA,NA
2001,2001-08-27,8,218,19,17,NA,NA,2.6,2.5,NA,NA
2001,2001-08-28,8,218,16,16,NA,NA,2.8,2.8,NA,NA
2001,2001-06-28,6,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-06-29,6,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-06-30,6,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-01,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-02,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-03,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-04,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-05,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-06,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-07,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-08,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-09,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-10,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-11,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-12,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-13,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-14,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-15,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-16,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-17,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-18,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-19,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-20,7,220,6.2,6.3,9.7,NA,9,8.9,6.1,NA
2001,2001-07-21,7,220,5,5,5.1,NA,10.2,10.2,10,NA
2001,2001-07-22,7,220,6.5,6.5,7.4,NA,10.4,10.3,9.5,NA
2001,2001-07-23,7,220,6.2,6.5,6.8,NA,10.2,10.1,10,NA
2001,2001-07-24,7,220,6.6,6.6,6.6,NA,9.4,9.4,9.4,NA
2001,2001-07-25,7,220,6.1,6.1,6.1,NA,9.4,9.4,9.4,NA
2001,2001-07-26,7,220,9,9.1,NA,NA,8.9,8.4,NA,NA
2001,2001-07-27,7,220,8.2,8.3,NA,NA,10,9.9,NA,NA
2001,2001-07-28,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-29,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-30,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-31,7,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-08-01,8,220,NA,NA,NA,NA,7.1,7,7,NA
2001,2001-08-02,8,220,6.1,6.2,6.3,NA,6.3,6.1,6,NA
2001,2001-08-03,8,220,NA,NA,NA,NA,6.7,6.7,6.1,NA
2001,2001-08-04,8,220,NA,NA,NA,NA,6.2,6.2,6.2,NA
2001,2001-08-05,8,220,4.5,4.5,4.7,NA,6.5,6.5,6.4,NA
2001,2001-08-06,8,220,8.8,8.8,9.1,NA,7.2,7.2,7.1,NA
2001,2001-08-07,8,220,8,8.1,10.6,NA,7.9,7.9,6.9,NA
2001,2001-08-08,8,220,10.4,11,11.9,NA,8.2,7.9,7.4,NA
2001,2001-08-09,8,220,NA,NA,NA,NA,9.9,8.8,7.4,NA
2001,2001-08-10,8,220,8.8,8.8,8.8,NA,8.9,8.9,8.9,NA
2001,2001-08-11,8,220,20,22,NA,NA,NA,NA,NA,NA
2001,2001-08-12,8,220,8,8,NA,NA,8.5,8.2,NA,NA
2001,2001-08-13,8,220,11,12,NA,NA,6,6,NA,NA
2001,2001-08-14,8,220,20,20,NA,NA,5.1,5.3,NA,NA
2001,2001-08-15,8,220,9,9,NA,NA,4.5,4.5,NA,NA
2001,2001-08-16,8,220,2,2,NA,NA,4.9,4.7,NA,NA
2001,2001-08-17,8,220,2,7,NA,NA,4,3.8,NA,NA
2001,2001-08-18,8,220,9,9,NA,NA,2.3,2.3,NA,NA
2001,2001-08-19,8,220,2,2,NA,NA,2.5,2.5,NA,NA
2001,2001-08-20,8,220,10.5,2,NA,NA,2,NA,NA,NA
2001,2001-08-21,8,220,20,20,NA,NA,2.2,2.2,NA,NA
2001,2001-08-22,8,220,15,15,NA,NA,3,3,NA,NA
2001,2001-08-23,8,220,19,19,NA,NA,1.2,1.2,NA,NA
2001,2001-08-24,8,220,22,22,NA,NA,1.5,1.5,NA,NA
2001,2001-08-25,8,220,19,19,NA,NA,2.1,2.1,NA,NA
2001,2001-08-26,8,220,35,36,NA,NA,0.5,0.5,NA,NA
2001,2001-08-27,8,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-08-28,8,220,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-06-28,6,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-06-29,6,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-06-30,6,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-01,7,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-02,7,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-03,7,230,0.2,0.2,NA,NA,10.2,10.2,NA,NA
2001,2001-07-04,7,230,0.1,0.1,NA,NA,5.8,5.9,NA,NA
2001,2001-07-05,7,230,0.2,0.2,NA,NA,6.9,6.9,NA,NA
2001,2001-07-06,7,230,0.1,0.1,NA,NA,5.4,5.4,NA,NA
2001,2001-07-07,7,230,0.1,0.1,NA,NA,5.2,5.2,NA,NA
2001,2001-07-08,7,230,0.1,0.1,NA,NA,4,4,NA,NA
2001,2001-07-09,7,230,0.1,0.1,NA,NA,4.1,4.1,NA,NA
2001,2001-07-10,7,230,0.1,0.1,NA,NA,1.9,1.9,NA,NA
2001,2001-07-11,7,230,0.8,0.8,NA,NA,1.1,1.1,NA,NA
2001,2001-07-12,7,230,0.9,0.9,NA,NA,2.9,2.9,NA,NA
2001,2001-07-13,7,230,0.9,0.9,NA,NA,3,3,NA,NA
2001,2001-07-14,7,230,0.4,0.4,NA,NA,4.9,4.9,NA,NA
2001,2001-07-15,7,230,0.1,0.1,NA,NA,7,7,NA,NA
2001,2001-07-16,7,230,2.8,3,NA,NA,8.4,8.1,NA,NA
2001,2001-07-17,7,230,0.4,0.4,NA,NA,12.9,12.9,NA,NA
2001,2001-07-18,7,230,0.5,0.5,NA,NA,10.6,10.6,NA,NA
2001,2001-07-19,7,230,1.2,1.3,NA,NA,11.6,11.5,NA,NA
2001,2001-07-20,7,230,0.2,0.2,NA,NA,14.7,14.7,NA,NA
2001,2001-07-21,7,230,3.2,3.2,NA,NA,13.8,13.8,NA,NA
2001,2001-07-22,7,230,0.5,2.7,NA,NA,14.9,13.7,NA,NA
2001,2001-07-23,7,230,2.1,2.2,NA,NA,13.4,13.5,NA,NA
2001,2001-07-24,7,230,0.7,0.7,NA,NA,11.4,11.4,NA,NA
2001,2001-07-25,7,230,0.1,0.1,NA,NA,10.5,10.5,NA,NA
2001,2001-07-26,7,230,0.4,1.1,NA,NA,9.6,9.5,NA,NA
2001,2001-07-27,7,230,0.9,0.9,NA,NA,12.2,12.2,NA,NA
2001,2001-07-28,7,230,0.2,0.2,0.2,NA,9.6,9.6,9.6,NA
2001,2001-07-29,7,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-30,7,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-07-31,7,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-08-01,8,230,NA,NA,NA,NA,7.3,NA,NA,NA
2001,2001-08-02,8,230,NA,NA,NA,NA,6.1,5.8,NA,NA
2001,2001-08-03,8,230,NA,NA,NA,NA,7,7,NA,NA
2001,2001-08-04,8,230,NA,NA,NA,NA,6.1,6.1,6.1,NA
2001,2001-08-05,8,230,7,7,NA,NA,5.9,5.8,NA,NA
2001,2001-08-06,8,230,4.7,4.7,NA,NA,7.9,7.8,NA,NA
2001,2001-08-07,8,230,0.8,0.8,NA,NA,9.2,9.2,NA,NA
2001,2001-08-08,8,230,5.1,5.7,NA,NA,9.1,8.9,NA,NA
2001,2001-08-09,8,230,1.3,9.6,NA,NA,10.4,6.8,NA,NA
2001,2001-08-10,8,230,NA,NA,NA,NA,10,9.5,9.1,NA
2001,2001-08-11,8,230,3,16,NA,NA,9.9,7,NA,NA
2001,2001-08-12,8,230,6,7,NA,NA,12.5,12.2,NA,NA
2001,2001-08-13,8,230,2,12,NA,NA,6.5,5.5,NA,NA
2001,2001-08-14,8,230,2,2,NA,NA,7,6.5,NA,NA
2001,2001-08-15,8,230,2,2,NA,NA,5.5,5.5,NA,NA
2001,2001-08-16,8,230,2,2,NA,NA,3.5,3.5,NA,NA
2001,2001-08-17,8,230,2,2,NA,NA,3.5,3.5,NA,NA
2001,2001-08-18,8,230,3,3,NA,NA,2.5,2.5,NA,NA
2001,2001-08-19,8,230,2,2,NA,NA,3.8,3.8,NA,NA
2001,2001-08-20,8,230,3,3,NA,NA,4,4,NA,NA
2001,2001-08-21,8,230,2,2,NA,NA,3,3,NA,NA
2001,2001-08-22,8,230,4,4,NA,NA,2.8,2.8,NA,NA
2001,2001-08-23,8,230,2,14,NA,NA,2.3,2.3,NA,NA
2001,2001-08-24,8,230,27,28,NA,NA,1.2,1,NA,NA
2001,2001-08-25,8,230,22,24,NA,NA,1.5,1.7,NA,NA
2001,2001-08-26,8,230,2,2,NA,NA,4.2,4.2,NA,NA
2001,2001-08-27,8,230,NA,NA,NA,NA,NA,NA,NA,NA
2001,2001-08-28,8,230,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-06-30,6,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-01,7,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-02,7,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-03,7,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-04,7,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-05,7,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-06,7,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-07,7,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-08,7,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-09,7,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-10,7,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-11,7,214,0.7,0.7,NA,NA,6.3,6.4,NA,NA
2002,2002-07-12,7,214,5,14,NA,NA,5.8,4.9,NA,NA
2002,2002-07-13,7,214,20.5,22.1,NA,NA,3.8,3.8,NA,NA
2002,2002-07-14,7,214,20.9,22.8,NA,NA,4.8,4.4,NA,NA
2002,2002-07-15,7,214,22.9,23.9,NA,NA,6.9,6.6,NA,NA
2002,2002-07-16,7,214,28.4,26.4,NA,NA,3.7,3.6,NA,NA
2002,2002-07-17,7,214,20.1,26.1,NA,NA,8.6,7,NA,NA
2002,2002-07-18,7,214,25.9,27.6,NA,NA,7.3,5.9,NA,NA
2002,2002-07-19,7,214,2.7,22.9,NA,NA,10.8,10,NA,NA
2002,2002-07-20,7,214,2.1,19.3,NA,NA,11.6,11.6,NA,NA
2002,2002-07-21,7,214,18.9,18.9,NA,NA,10.8,10.8,NA,NA
2002,2002-07-22,7,214,8.4,13.5,NA,NA,7.9,8.6,NA,NA
2002,2002-07-23,7,214,9.8,9.9,NA,NA,9.4,9.4,NA,NA
2002,2002-07-24,7,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-25,7,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-07-26,7,214,18.1,18.1,18.5,NA,7.2,7.2,7.2,NA
2002,2002-07-27,7,214,2.8,17.9,NA,NA,6.2,7.8,NA,NA
2002,2002-07-28,7,214,7.7,18,NA,NA,8.6,9.1,NA,NA
2002,2002-07-29,7,214,1.4,1.4,NA,NA,8.9,8.9,NA,NA
2002,2002-07-30,7,214,0.2,0.2,NA,NA,8.3,8.3,NA,NA
2002,2002-07-31,7,214,0.7,12.5,NA,NA,9.7,8.6,NA,NA
2002,2002-08-01,8,214,15.2,15,NA,NA,8.5,8.1,NA,NA
2002,2002-08-02,8,214,15.3,15.3,NA,NA,11.8,11.8,NA,NA
2002,2002-08-03,8,214,13.8,13.8,NA,NA,12.3,12.3,NA,NA
2002,2002-08-04,8,214,13.8,13.7,13.7,NA,9.7,9.8,9.8,NA
2002,2002-08-05,8,214,14,14,14,NA,7.1,7.1,7.1,NA
2002,2002-08-06,8,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-07,8,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-08,8,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-09,8,214,NA,NA,NA,NA,5.7,5.7,NA,NA
2002,2002-08-10,8,214,17.4,17.7,NA,NA,7,7,NA,NA
2002,2002-08-11,8,214,9.5,17.1,NA,NA,6.1,6.9,NA,NA
2002,2002-08-12,8,214,7.4,7.4,NA,NA,5.7,5.7,NA,NA
2002,2002-08-13,8,214,11.9,11.9,NA,NA,7.8,7.8,NA,NA
2002,2002-08-14,8,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-15,8,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-16,8,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-17,8,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-18,8,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-19,8,214,NA,NA,NA,NA,NA,NA,NA,NA
2002,2002-08-20,8,214,3.8,4.4,NA,NA,3.1,3,NA,NA
2002,2002-08-21,8,214,9.6,9.7,NA,NA,3.3,3.3,NA,NA
2002,2002-08-22,8,214,6.3,7.1,7.6,NA,3.9,4,4,NA
2002,2002-08-23,8,214,8.9,9,NA,NA,4.8,4.8,NA,NA
2002,2002-08-24,8,214,9.4,9.4,NA,NA,5,5,NA,NA
2002,2002-08-25,8,214,10.1,10.1,NA,NA,5.6,5.6,NA,NA
2002,2002-08-26,8,214,13.5,15.1,NA,NA,6.5,5.9,NA,NA
2002,2002-08-27,8,214,13.6,19.9,NA,NA,6.2,5.4,NA,NA
2002,2002-08-28,8,214,13.2,16.1,NA,NA,5.8,5.8,NA,NA
2002,2002-06-30,6,218,NA,NA,NA,NA,NA,NA,NA,NA
