Year,EndDate,Net,LG,totcount,Lengthcount,unmeasured
2001,2001-06-28,231N,1,37,37,0
2001,2001-06-28,231N,2,9,9,0
2001,2001-06-28,231S,1,106,50,56
2001,2001-06-29,231N,1,9,9,0
2001,2001-06-29,231N,2,2,2,0
2001,2001-06-30,231N,1,2,2,0
2001,2001-06-30,231S,1,4,4,0
2001,2001-07-01,231N,1,1,1,0
2001,2001-07-01,231S,1,2,2,0
2001,2001-07-02,230N,1,19,19,0
2001,2001-07-02,230N,2,18,18,0
2001,2001-07-02,230S,1,20,20,0
2001,2001-07-02,230S,2,25,25,0
2001,2001-07-02,231N,1,14,14,0
2001,2001-07-02,231N,2,5,5,0
2001,2001-07-02,231S,1,10,10,0
2001,2001-07-02,231S,2,1,1,0
2001,2001-07-03,230N,1,60,50,10
2001,2001-07-03,230N,2,15,15,0
2001,2001-07-03,230S,1,15,15,0
2001,2001-07-03,230S,2,14,14,0
2001,2001-07-03,231N,1,6,6,0
2001,2001-07-03,231N,2,6,6,0
2001,2001-07-03,231S,1,14,14,0
2001,2001-07-03,231S,2,6,6,0
2001,2001-07-04,230N,1,20,20,0
2001,2001-07-04,230N,2,15,15,0
2001,2001-07-04,230S,1,6,6,0
2001,2001-07-04,230S,2,15,15,0
2001,2001-07-04,231N,1,8,8,0
2001,2001-07-04,231N,2,2,2,0
2001,2001-07-04,231S,1,10,10,0
2001,2001-07-04,231S,2,5,5,0
2001,2001-07-05,230N,1,13,13,0
2001,2001-07-05,230N,2,23,23,0
2001,2001-07-05,230S,1,18,18,0
2001,2001-07-05,230S,2,69,49,20
2001,2001-07-05,231N,1,39,39,0
2001,2001-07-05,231N,2,86,51,35
2001,2001-07-05,231S,1,34,31,3
2001,2001-07-05,231S,2,49,49,0
2001,2001-07-06,230N,1,287,50,237
2001,2001-07-06,230N,2,69,49,20
2001,2001-07-06,230S,1,474,50,424
2001,2001-07-06,230S,2,86,50,36
2001,2001-07-06,231N,1,40,40,0
2001,2001-07-06,231N,2,11,11,0
2001,2001-07-06,231S,1,6,6,0
2001,2001-07-06,231S,2,17,17,0
2001,2001-07-07,230N,1,98,50,48
2001,2001-07-07,230N,2,37,37,0
2001,2001-07-07,231N,1,366,100,266
2001,2001-07-07,231N,2,144,100,44
2001,2001-07-07,231S,1,85,52,33
2001,2001-07-07,231S,2,63,48,15
2001,2001-07-08,230N,1,33,33,0
2001,2001-07-08,230N,2,49,49,0
2001,2001-07-08,230S,1,31,31,0
2001,2001-07-08,230S,2,27,27,0
2001,2001-07-08,231N,1,47,47,0
2001,2001-07-08,231N,2,8,8,0
2001,2001-07-08,231S,1,22,22,0
2001,2001-07-08,231S,2,4,4,0
2001,2001-07-09,230N,1,11,11,0
2001,2001-07-09,230N,2,40,40,0
2001,2001-07-09,230S,1,3,3,0
2001,2001-07-09,230S,2,11,11,0
2001,2001-07-09,231N,1,35,35,0
2001,2001-07-09,231N,2,4,4,0
2001,2001-07-09,231S,1,61,49,12
2001,2001-07-09,231S,2,11,11,0
2001,2001-07-10,230N,1,22,22,0
2001,2001-07-10,230N,2,19,19,0
2001,2001-07-10,230S,1,1,1,0
2001,2001-07-10,230S,2,10,10,0
2001,2001-07-11,230N,1,3,3,0
2001,2001-07-11,230N,2,6,6,0
2001,2001-07-11,230S,1,16,16,0
2001,2001-07-12,230N,1,5,5,0
2001,2001-07-12,230N,2,1,1,0
2001,2001-07-12,230S,1,2,2,0
2001,2001-07-12,230S,2,4,4,0
2001,2001-07-13,230N,1,2,2,0
2001,2001-07-13,230N,2,7,7,0
2001,2001-07-13,230S,1,1,1,0
2001,2001-07-13,230S,2,5,5,0
2001,2001-07-13,231N,1,27,27,0
2001,2001-07-13,231N,2,1,1,0
2001,2001-07-13,231S,1,15,15,0
2001,2001-07-13,231S,2,8,8,0
2001,2001-07-14,230N,1,1,1,0
2001,2001-07-14,230N,2,7,7,0
2001,2001-07-14,230S,2,2,2,0
2001,2001-07-14,231N,1,23,23,0
2001,2001-07-14,231N,2,3,3,0
2001,2001-07-14,231S,1,21,21,0
2001,2001-07-15,230N,2,1,1,0
2001,2001-07-15,230S,1,3,3,0
2001,2001-07-15,230S,2,5,5,0
2001,2001-07-15,231N,1,24,24,0
2001,2001-07-15,231N,2,4,4,0
2001,2001-07-15,231S,1,12,12,0
2001,2001-07-15,231S,2,3,3,0
2001,2001-07-16,218E,1,27,27,0
2001,2001-07-16,218E,2,57,47,10
2001,2001-07-16,218W,1,33,33,0
2001,2001-07-16,218W,2,48,48,0
2001,2001-07-16,230N,1,3,3,0
2001,2001-07-16,230N,2,2,2,0
2001,2001-07-16,230S,1,2,2,0
2001,2001-07-16,230S,2,3,3,0
2001,2001-07-17,218E,1,49,49,0
2001,2001-07-17,218E,2,81,50,31
2001,2001-07-17,218W,1,89,50,39
2001,2001-07-17,218W,2,145,50,95
2001,2001-07-17,220E,1,7,7,0
2001,2001-07-17,220E,2,47,47,0
2001,2001-07-17,220W,1,1,1,0
2001,2001-07-17,220W,2,20,20,0
2001,2001-07-17,230N,1,2,2,0
2001,2001-07-17,230N,2,1,1,0
2001,2001-07-17,231N,1,6,6,0
2001,2001-07-17,231N,2,5,5,0
2001,2001-07-17,231S,1,1,1,0
2001,2001-07-18,230N,2,3,3,0
2001,2001-07-18,230S,2,12,8,4
2001,2001-07-18,231N,1,1,1,0
2001,2001-07-18,231N,2,1,1,0
2001,2001-07-19,230N,1,1,1,0
2001,2001-07-19,230N,2,2,2,0
2001,2001-07-19,230S,2,1,1,0
2001,2001-07-19,231N,1,5,5,0
2001,2001-07-19,231N,2,5,5,0
2001,2001-07-19,231S,1,3,3,0
2001,2001-07-19,231S,2,1,1,0
2001,2001-07-20,218E,1,7,7,0
2001,2001-07-20,218E,2,7,7,0
2001,2001-07-20,218W,1,10,10,0
2001,2001-07-20,218W,2,15,15,0
2001,2001-07-20,230N,2,13,13,0
2001,2001-07-20,230S,2,4,4,0
2001,2001-07-20,231N,1,8,8,0
2001,2001-07-20,231N,2,11,11,0
2001,2001-07-20,231S,1,3,3,0
2001,2001-07-20,231S,2,7,7,0
2001,2001-07-21,218W,1,3,3,0
2001,2001-07-21,218W,2,7,7,0
2001,2001-07-21,220E,2,12,12,0
2001,2001-07-21,220W,2,28,28,0
2001,2001-07-21,230N,1,2,2,0
2001,2001-07-21,230N,2,2,2,0
2001,2001-07-21,230S,2,16,16,0
2001,2001-07-21,231N,2,5,5,0
2001,2001-07-22,218W,1,2,2,0
2001,2001-07-22,218W,2,1,1,0
2001,2001-07-22,220E,2,5,5,0
2001,2001-07-22,220W,2,19,19,0
2001,2001-07-22,230N,1,2,2,0
2001,2001-07-22,230N,2,8,8,0
2001,2001-07-22,230S,2,35,35,0
2001,2001-07-22,231N,1,2,2,0
2001,2001-07-22,231N,2,2,2,0
2001,2001-07-23,218E,1,1,1,0
2001,2001-07-23,218E,2,9,9,0
2001,2001-07-23,218W,2,9,9,0
2001,2001-07-23,220E,2,11,11,0
2001,2001-07-23,220W,1,1,1,0
2001,2001-07-23,220W,2,22,22,0
2001,2001-07-23,230N,2,3,3,0
2001,2001-07-23,230S,1,1,1,0
2001,2001-07-23,230S,2,7,7,0
2001,2001-07-23,231N,1,26,26,0
2001,2001-07-23,231N,2,2,2,0
2001,2001-07-23,231S,1,1,1,0
2001,2001-07-23,231S,2,7,7,0
2001,2001-07-24,218E,2,13,13,0
2001,2001-07-24,218W,2,10,10,0
