Year,EndDate,Net,LG,totcount,Lengthcount,unmeasured
2001,2001-06-28,231N,1,6,6,0
2001,2001-06-28,231S,1,20,20,0
2001,2001-06-28,231S,2,4,4,0
2001,2001-06-29,231N,1,2,2,0
2001,2001-06-30,231S,1,1,1,0
2001,2001-07-01,231N,2,1,1,0
2001,2001-07-02,230N,2,4,4,0
2001,2001-07-02,230S,1,1,1,0
2001,2001-07-02,230S,2,7,7,0
2001,2001-07-02,231N,1,4,4,0
2001,2001-07-02,231N,2,1,1,0
2001,2001-07-02,231S,1,3,3,0
2001,2001-07-02,231S,2,4,4,0
2001,2001-07-03,230N,1,8,8,0
2001,2001-07-03,230N,2,6,6,0
2001,2001-07-03,230S,1,1,1,0
2001,2001-07-03,230S,2,15,15,0
2001,2001-07-03,231N,1,1,1,0
2001,2001-07-03,231N,2,1,1,0
2001,2001-07-03,231S,1,12,12,0
2001,2001-07-03,231S,2,3,3,0
2001,2001-07-04,230N,1,7,7,0
2001,2001-07-04,230N,2,10,10,0
2001,2001-07-04,230S,1,1,1,0
2001,2001-07-04,230S,2,16,16,0
2001,2001-07-04,231N,1,10,10,0
2001,2001-07-04,231N,2,13,13,0
2001,2001-07-04,231S,1,9,9,0
2001,2001-07-04,231S,2,8,8,0
2001,2001-07-05,230N,1,7,7,0
2001,2001-07-05,230N,2,41,41,0
2001,2001-07-05,230S,1,17,17,0
2001,2001-07-05,230S,2,123,54,69
2001,2001-07-05,231N,1,25,25,0
2001,2001-07-05,231N,2,85,48,37
2001,2001-07-05,231S,1,12,12,0
2001,2001-07-05,231S,2,43,43,0
2001,2001-07-06,230N,1,45,45,0
2001,2001-07-06,230N,2,168,50,118
2001,2001-07-06,230S,1,165,50,115
2001,2001-07-06,230S,2,134,50,84
2001,2001-07-06,231N,1,5,5,0
2001,2001-07-06,231N,2,1,1,0
2001,2001-07-06,231S,1,2,2,0
2001,2001-07-06,231S,2,9,9,0
2001,2001-07-07,230N,1,45,45,0
2001,2001-07-07,230N,2,12,12,0
2001,2001-07-07,231N,1,71,64,7
2001,2001-07-07,231N,2,44,44,0
2001,2001-07-07,231S,1,14,14,0
2001,2001-07-07,231S,2,21,21,0
2001,2001-07-08,230N,1,16,16,0
2001,2001-07-08,230N,2,25,25,0
2001,2001-07-08,230S,1,17,17,0
2001,2001-07-08,230S,2,14,14,0
2001,2001-07-08,231N,1,16,16,0
2001,2001-07-08,231N,2,6,6,0
2001,2001-07-08,231S,1,3,3,0
2001,2001-07-08,231S,2,4,4,0
2001,2001-07-09,230N,1,6,6,0
2001,2001-07-09,230N,2,34,34,0
2001,2001-07-09,230S,2,12,12,0
2001,2001-07-09,231N,1,22,22,0
2001,2001-07-09,231N,2,2,2,0
2001,2001-07-09,231S,1,7,7,0
2001,2001-07-10,230N,1,2,2,0
2001,2001-07-10,230N,2,12,12,0
2001,2001-07-10,230S,1,1,1,0
2001,2001-07-10,230S,2,1,1,0
2001,2001-07-11,230N,1,1,1,0
2001,2001-07-11,230N,2,2,2,0
2001,2001-07-11,230S,1,3,3,0
2001,2001-07-11,230S,2,13,13,0
2001,2001-07-12,230N,2,2,2,0
2001,2001-07-13,230S,2,2,2,0
2001,2001-07-13,231N,1,4,4,0
2001,2001-07-13,231S,1,5,5,0
2001,2001-07-13,231S,2,2,2,0
2001,2001-07-14,230N,2,2,2,0
2001,2001-07-14,230S,2,1,1,0
2001,2001-07-14,231N,1,11,11,0
2001,2001-07-14,231N,2,2,2,0
2001,2001-07-14,231S,1,3,3,0
2001,2001-07-14,231S,2,1,1,0
2001,2001-07-15,230N,2,1,1,0
2001,2001-07-15,231N,1,4,4,0
2001,2001-07-15,231N,2,1,1,0
2001,2001-07-15,231S,1,10,10,0
2001,2001-07-16,218E,2,9,9,0
2001,2001-07-16,218W,2,7,7,0
2001,2001-07-17,218E,1,1,1,0
2001,2001-07-17,218E,2,5,5,0
2001,2001-07-17,218W,2,14,14,0
2001,2001-07-17,220E,2,1,1,0
2001,2001-07-17,231N,1,2,2,0
2001,2001-07-17,231N,2,2,2,0
2001,2001-07-17,231S,2,4,4,0
2001,2001-07-18,230N,2,1,1,0
2001,2001-07-18,231S,2,1,1,0
2001,2001-07-19,230N,1,5,5,0
